"season","team_id","seed","school_name"
2004,"054c3e85-0552-4549-b123-7e84af6e7b6c",14,"UCF"
2005,"054c3e85-0552-4549-b123-7e84af6e7b6c",15,"UCF"
2004,"06d15d35-4955-4fdd-83d9-32d24dbd795b",13,"UTEP"
2005,"06d15d35-4955-4fdd-83d9-32d24dbd795b",11,"UTEP"
2010,"06d15d35-4955-4fdd-83d9-32d24dbd795b",12,"UTEP"
2002,"06f7c904-0ac7-4125-b0f4-f4871bb69057",5,"Marquette"
2003,"06f7c904-0ac7-4125-b0f4-f4871bb69057",3,"Marquette"
2006,"06f7c904-0ac7-4125-b0f4-f4871bb69057",7,"Marquette"
2007,"06f7c904-0ac7-4125-b0f4-f4871bb69057",8,"Marquette"
2008,"06f7c904-0ac7-4125-b0f4-f4871bb69057",6,"Marquette"
2009,"06f7c904-0ac7-4125-b0f4-f4871bb69057",6,"Marquette"
2010,"06f7c904-0ac7-4125-b0f4-f4871bb69057",6,"Marquette"
2011,"06f7c904-0ac7-4125-b0f4-f4871bb69057",11,"Marquette"
2012,"06f7c904-0ac7-4125-b0f4-f4871bb69057",3,"Marquette"
2013,"06f7c904-0ac7-4125-b0f4-f4871bb69057",3,"Marquette"
2006,"095417ae-62b0-4109-afc4-d92918599dd4",16,"Oral Roberts"
2007,"095417ae-62b0-4109-afc4-d92918599dd4",14,"Oral Roberts"
2008,"095417ae-62b0-4109-afc4-d92918599dd4",13,"Oral Roberts"
2015,"09920a5f-1b25-466c-b5ae-6167214f5ba9",16,"North Florida"
2014,"0affc15f-641d-4211-970d-fb9fb8d36842",13,"Delaware"
2000,"0c0608b3-f349-4f5e-9a10-7e6a744dd0d2",7,"Auburn"
2003,"0c0608b3-f349-4f5e-9a10-7e6a744dd0d2",10,"Auburn"
2000,"0d037a5d-827a-44dd-8b70-57603d671d5d",8,"Utah"
2002,"0d037a5d-827a-44dd-8b70-57603d671d5d",12,"Utah"
2003,"0d037a5d-827a-44dd-8b70-57603d671d5d",9,"Utah"
2004,"0d037a5d-827a-44dd-8b70-57603d671d5d",11,"Utah"
2005,"0d037a5d-827a-44dd-8b70-57603d671d5d",6,"Utah"
2009,"0d037a5d-827a-44dd-8b70-57603d671d5d",5,"Utah"
2015,"0d037a5d-827a-44dd-8b70-57603d671d5d",5,"Utah"
2016,"0d037a5d-827a-44dd-8b70-57603d671d5d",3,"Utah"
2001,"0d8a328f-20ce-410b-bed1-15fc01308aaf",11,"Xavier"
2002,"0d8a328f-20ce-410b-bed1-15fc01308aaf",7,"Xavier"
2003,"0d8a328f-20ce-410b-bed1-15fc01308aaf",3,"Xavier"
2004,"0d8a328f-20ce-410b-bed1-15fc01308aaf",7,"Xavier"
2006,"0d8a328f-20ce-410b-bed1-15fc01308aaf",14,"Xavier"
2007,"0d8a328f-20ce-410b-bed1-15fc01308aaf",9,"Xavier"
2008,"0d8a328f-20ce-410b-bed1-15fc01308aaf",3,"Xavier"
2009,"0d8a328f-20ce-410b-bed1-15fc01308aaf",4,"Xavier"
2010,"0d8a328f-20ce-410b-bed1-15fc01308aaf",6,"Xavier"
2011,"0d8a328f-20ce-410b-bed1-15fc01308aaf",6,"Xavier"
2012,"0d8a328f-20ce-410b-bed1-15fc01308aaf",10,"Xavier"
2014,"0d8a328f-20ce-410b-bed1-15fc01308aaf",12,"Xavier"
2015,"0d8a328f-20ce-410b-bed1-15fc01308aaf",6,"Xavier"
2016,"0d8a328f-20ce-410b-bed1-15fc01308aaf",2,"Xavier"
2011,"0dadedb0-2bd3-45e7-91a3-93af6c4e87f2",16,"Little Rock"
2016,"0dadedb0-2bd3-45e7-91a3-93af6c4e87f2",12,"Little Rock"
2000,"0e4258fa-3154-4c16-b693-adecab184c6c",2,"Iowa St."
2001,"0e4258fa-3154-4c16-b693-adecab184c6c",2,"Iowa St."
2005,"0e4258fa-3154-4c16-b693-adecab184c6c",9,"Iowa St."
2012,"0e4258fa-3154-4c16-b693-adecab184c6c",8,"Iowa St."
2013,"0e4258fa-3154-4c16-b693-adecab184c6c",10,"Iowa St."
2014,"0e4258fa-3154-4c16-b693-adecab184c6c",3,"Iowa St."
2015,"0e4258fa-3154-4c16-b693-adecab184c6c",3,"Iowa St."
2016,"0e4258fa-3154-4c16-b693-adecab184c6c",4,"Iowa St."
